"REGION","CERCLE","COMMUNE","VFQ","CV","BV","ELECTEURS_M","ELECTEURS_F","ELECTEURS"
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","005",239,228,467
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","006",235,232,467
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","007",234,233,467
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","008",232,235,467
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","009",250,217,467
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE DE BASE OLIVIER","010",245,222,467
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","001",246,234,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","002",237,243,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","003",247,233,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","004",253,227,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","005",254,226,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","006",246,234,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","007",238,242,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","008",248,232,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","009",253,226,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","010",251,228,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","011",242,237,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","012",258,221,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","013",275,204,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","014",265,214,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","ECOLE MEDERSA DIAOUNE","015",270,209,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","001",240,259,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","002",249,250,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","003",257,242,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","004",241,258,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","005",248,251,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","006",244,255,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","007",257,242,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","008",264,235,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","009",261,238,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","010",244,255,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","011",252,247,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","012",261,238,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","013",257,242,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","014",238,261,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","015",254,245,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","016",242,257,499
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","017",248,250,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","018",242,256,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","019",242,256,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","020",244,254,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","021",232,266,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","022",246,252,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","023",257,241,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","024",258,240,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","025",253,245,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","026",235,263,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","027",260,238,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","028",253,245,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI FLABOUGOU","029",248,250,498
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","001",236,244,480
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","002",255,224,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","003",246,233,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","004",239,240,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","005",234,245,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","006",244,235,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","007",245,234,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","008",258,221,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","009",264,215,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","010",248,231,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","011",247,232,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE BANCONI PLATEAU","012",257,222,479
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","001",344,149,493
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","002",348,145,493
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","003",345,148,493
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","004",343,150,493
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","005",334,159,493
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","006",315,177,492
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","007",321,171,492
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","008",328,164,492
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ETAT CIVIL","009",340,152,492
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","001",255,242,497
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","002",252,245,497
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","003",259,238,497
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","004",257,240,497
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","005",250,247,497
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","006",231,265,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","007",255,241,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","008",247,249,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","009",260,236,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","010",253,243,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","011",241,255,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","012",262,234,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","013",276,220,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","014",259,237,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","015",267,229,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","016",282,214,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","017",268,228,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","018",256,240,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","019",251,245,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","020",252,244,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","021",244,252,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","022",254,242,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","023",241,255,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","024",250,246,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","025",262,234,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","026",255,241,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","027",248,248,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","GROUPE SCOLAIRE DE BANCONI ZEKENEKOROBOUGOU","028",259,237,496
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","001",224,247,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","002",237,234,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","003",218,253,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","004",227,244,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","005",226,245,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","006",234,237,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","007",238,233,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","008",236,235,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","009",236,235,471
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","010",238,232,470
"BAMAKO","BAMAKO","COMMUNE I","BANCONI","IMMEUBLE DIABY","011",233,237,470
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","001",235,259,494
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","002",252,242,494
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","003",257,237,494
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","004",254,239,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","005",256,237,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","006",273,220,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","007",264,229,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","008",263,230,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","009",269,224,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","010",283,210,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","011",265,228,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","012",268,225,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","013",271,222,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","014",257,236,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","015",269,224,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","016",265,228,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","017",292,201,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","018",278,215,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","019",301,192,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","020",283,210,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","021",287,206,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","022",270,223,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","023",273,220,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","024",285,208,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","025",292,201,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","026",292,201,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","027",277,216,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","028",266,227,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","029",262,231,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","030",261,232,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","031",281,212,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","032",268,225,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","033",251,242,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","034",270,223,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","035",269,224,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","036",282,211,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","037",265,228,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","038",275,218,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","039",267,226,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","040",282,211,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","041",270,223,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","042",275,218,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","043",248,245,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","044",255,238,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","045",243,250,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","046",252,241,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","047",266,227,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","048",282,211,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","049",272,221,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","050",265,228,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","051",262,231,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","052",260,233,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","053",252,241,493
"BAMAKO","BAMAKO","COMMUNE I","BOULKASSOUMBOUGOU","GROUPE SCOLAIRE DE BOULKASSOUMBOUGOU","054",258,235,493
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","001",273,226,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","002",289,210,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","003",275,224,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","004",279,220,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","005",269,230,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","006",267,232,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","007",261,238,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","008",273,226,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","009",262,237,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","010",273,226,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","011",282,217,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","012",294,205,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","013",279,220,499
"BAMAKO","BAMAKO","COMMUNE I","DIELIBOUGOU","GROUPE SCOLAIRE DE DJELIBOUGOU","014",274,225,499
